"pid","label","parent","id"
info:fedora/macrepo:10184,Vranje,info:fedora/macrepo:9916,macrepo:10184
info:fedora/macrepo:10185,Bosiljgrad,info:fedora/macrepo:9916,macrepo:10185
info:fedora/macrepo:10188,Kotor,info:fedora/macrepo:9916,macrepo:10188
info:fedora/macrepo:10189,Cetinje,info:fedora/macrepo:9916,macrepo:10189
info:fedora/macrepo:10189,Cetinje,info:fedora/macrepo:9916,
info:fedora/macrepo:10190,Skadar,info:fedora/macrepo:9916,macrepo:10190
info:fedora/macrepo:10191,Prokletije,info:fedora/macrepo:9916,macrepo:10191
info:fedora/macrepo:10192,Prizren,info:fedora/macrepo:9916,macrepo:10192
info:fedora/macrepo:10193,Kacanik,info:fedora/macrepo:9916,macrepo:10193
info:fedora/macrepo:10194,Kumanovo-Skoplje,info:fedora/macrepo:9916,macrepo:10194
info:fedora/macrepo:10195,Kratovo,info:fedora/macrepo:9916,macrepo:10195
info:fedora/macrepo:10196,Kriva Palanka,info:fedora/macrepo:9916,macrepo:10196
info:fedora/macrepo:10197,Lje,info:fedora/macrepo:9916,macrepo:10197
info:fedora/macrepo:10198,Spaci,info:fedora/macrepo:9916,macrepo:10198
info:fedora/macrepo:10199,Debar,info:fedora/macrepo:9916,macrepo:10199
info:fedora/macrepo:10200,Gostivar-Kicevo,info:fedora/macrepo:9916,macrepo:10200
info:fedora/macrepo:10201,Skoplje-Veles,info:fedora/macrepo:9916,macrepo:10201
info:fedora/macrepo:10202,Štip,info:fedora/macrepo:9916,ww2_Yugoslavia_100k_150
info:fedora/macrepo:10202,Štip,info:fedora/macrepo:9916,macrepo:10202
info:fedora/macrepo:10205,Plackovica,info:fedora/macrepo:9916,macrepo:10205
info:fedora/macrepo:10208,Drac,info:fedora/macrepo:9916,macrepo:10208
info:fedora/macrepo:10209,Elbasan,info:fedora/macrepo:9916,macrepo:10209
info:fedora/macrepo:10210,Ohrid,info:fedora/macrepo:9916,macrepo:10210
info:fedora/macrepo:10211,Resan-Kruevo,info:fedora/macrepo:9916,macrepo:10211
info:fedora/macrepo:10213,Prilep-Bitolj,info:fedora/macrepo:9916,macrepo:10213
info:fedora/macrepo:10214,Kavadarci,info:fedora/macrepo:9916,macrepo:10214
info:fedora/macrepo:10215,Strumica-Ðevdelija,info:fedora/macrepo:9916,macrepo:10215
info:fedora/macrepo:10216,Fjeri,info:fedora/macrepo:9916,macrepo:10216
info:fedora/macrepo:10217,Berat,info:fedora/macrepo:9916,macrepo:10217
info:fedora/macrepo:10218,Korca,info:fedora/macrepo:9916,macrepo:10218
info:fedora/macrepo:10219,Valona,info:fedora/macrepo:9916,macrepo:10219
info:fedora/macrepo:10222,Graz,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O48
info:fedora/macrepo:10222,Graz,info:fedora/macrepo:26857,macrepo:10222
info:fedora/macrepo:10223,Č. Budějovice,info:fedora/macrepo:26857,macrepo:10223
